patch_id,original_image_id,interaction_category,semantic_category,interaction_bbox
1,1026760001,look at,button,"[289, 368, 105, 31]"
2,1026760001,look at,button,"[406, 360, 100, 31]"
3,1026760001,look at,button,"[516, 353, 95, 30]"
4,1026760002,touch (reachable),fish,"[407, 285, 215, 193]"
5,1026760003,touch (reachable),fish,"[129, 2, 636, 319]"
6,1026760004,touch (reachable),fish,"[444, 292, 96, 74]"
7,1026760004,touch (reachable),fish,"[442, 352, 155, 99]"
8,1026760005,touch (reachable),fish,"[441, 325, 127, 130]"
9,1026760005,touch (reachable),fish,"[492, 189, 120, 59]"
11,1026760006,touch (reachable),button,"[565, 339, 97, 99]"
12,1026760007,touch (reachable),bubble,"[431, 233, 151, 222]"
13,1026760008,touch (reachable),bubble,"[341, 146, 138, 202]"
14,1026760009,touch (reachable),bubble,"[527, 224, 96, 128]"
15,1026760009,touch (reachable),bubble,"[433, 270, 59, 54]"
16,1026760009,touch (reachable),bubble,"[464, 313, 107, 135]"
17,1026760010,touch (reachable),bubble,"[388, 386, 78, 85]"
18,1026760011,touch (reachable),ball,"[340, 324, 143, 144]"
19,1026760012,touch (reachable),button,"[385, 355, 85, 89]"
20,1026760013,touch (reachable),starfish,"[404, 217, 251, 232]"
21,1026760014,touch (reachable),conch,"[115, 299, 292, 228]"
22,1026760015,touch (reachable),coin,"[407, 348, 130, 147]"
23,1026760016,touch (reachable),disk,"[426, 325, 127, 192]"
24,1026760017,touch (reachable),stone,"[397, 360, 126, 111]"
25,1026760018,touch (reachable),conch,"[369, 349, 156, 189]"
26,1026760019,touch (reachable),flower,"[255, 367, 159, 173]"
27,1026760020,touch (reachable),bottle,"[456, 205, 155, 335]"
28,1026760021,touch (reachable),jellyfish,"[385, 333, 188, 196]"
29,1026760021,touch (reachable),jellyfish,"[457, 197, 184, 179]"
30,1026760021,touch (reachable),jellyfish,"[479, 0, 219, 196]"
31,1026760022,touch (reachable),button,"[288, 310, 84, 80]"
32,1026760022,touch (reachable),button,"[527, 324, 75, 75]"
33,1026760023,touch (reachable),ball,"[452, 276, 106, 107]"
34,1026760024,touch (reachable),disk,"[210, 158, 201, 267]"
35,1026760025,touch (reachable),coin,"[286, 349, 198, 191]"
36,1026760026,touch (reachable),crown,"[416, 422, 53, 38]"
37,1026760027,touch (reachable),conch,"[424, 334, 101, 135]"
38,1033960001,trigger,start button,"[371, 264, 163, 49]"
39,1033960001,trigger,button,"[362, 303, 173, 68]"
40,1033960001,trigger,button,"[353, 368, 183, 51]"
41,1033960002,grip,Bath balls,"[402, 235, 185, 174]"
43,1033960002,grip,Bath balls,"[0, 234, 183, 170]"
46,1033960003,grip,gun,"[319, 22, 207, 407]"
47,1033960003,grip,gun,"[0, 0, 259, 386]"
48,1033960004,grip,gun,"[318, 110, 183, 341]"
49,1033960004,grip,gun,"[601, 96, 213, 397]"
50,1033960005,trigger,dog,"[247, 198, 107, 69]"
51,1033960005,shoot,dog,"[247, 198, 107, 69]"
52,1033960005,grip,Bath balls,"[668, 416, 140, 122]"
53,1033960005,grip,Bath balls,"[558, 385, 102, 104]"
54,1033960005,grip,Bath balls,"[460, 368, 99, 98]"
55,1033960005,grip,gun,"[344, 289, 100, 179]"
56,1033960005,grip,gun,"[196, 285, 106, 183]"
57,1033960005,grip,gun,"[0, 306, 119, 197]"
58,1033960006,grip,gun,"[318, 373, 113, 167]"
59,1033960006,grip,gun,"[496, 354, 105, 186]"
60,1033960006,grip,gun,"[693, 387, 114, 153]"
61,1033960006,trigger,dog,"[397, 225, 59, 65]"
62,1033960006,shoot,dog,"[397, 225, 59, 65]"
63,1033960006,shoot,dog,"[681, 225, 53, 56]"
64,1033960006,trigger,dog,"[681, 225, 53, 56]"
65,1063530001,trigger,card,"[472, 223, 73, 102]"
66,1063530002,trigger,card,"[354, 251, 75, 113]"
67,1063530002,trigger,card,"[535, 229, 87, 110]"
