×Ü¹²ÕÒ²»µ½Æ¥ÅäµÄ patch ÊýÁ¿: 567

Í¼Æ¬ ID: 1026760006, Interaction ±ê×¢: {'id': 10, 'image_id': 1026760006, 'category_id': 6, 'segmentation': {'size': [540, 960], 'counts': 'loi52d`0k0XO7I6K4L3M4L3M4L3N2M3N2O1M3N2O1N2N1O2N1O2N101N100O2O0O101N100O2O000O10001O000O1000000000000O10O2O00000O1000000O101O0O100O2O0O101N100O2O0O2O0O2N2O0O2M3N2N2N3N1M3N3M2N2M3L5K5K5L3K6K7EVh_8'}, 'bbox': [352, 335, 92, 99], 'area': 9108, 'iscrowd': 1}
Í¼Æ¬ ID: 1033960002, Interaction ±ê×¢: {'id': 42, 'image_id': 1033960002, 'category_id': 2, 'segmentation': {'size': [540, 960], 'counts': 'liP37b`07J6K5G8I7K3M3L5K4I8L3L4M3M3M2O2M3M3N2M3N2N1N3N2N3L2O2N1O2N101N1O2N101N1O101N2N1O101N1O101N1O2O0O2O0O100O2O0O100O10000O2O000O10000O10000O1000001N100000000O10000000000O100000000000O1000O1000O10000000000O10000000000O101O00000O10001O000O101O0O10000O2O000O101N10000O2O0O101N10000O2O0O101O1N101N101N101N2O0O2N101N2N2O0O2N1O2O0O2N101N2N1O2O1N1O2N2O1N1O2M3N2N2N1O2N2M3N3M2N2N2M4M2M4M2L5L6I9F<DUUc9'}, 'bbox': [183, 225, 194, 147], 'area': 28518, 'iscrowd': 1}
Í¼Æ¬ ID: 1033960003, Interaction ±ê×¢: {'id': 44, 'image_id': 1033960003, 'category_id': 2, 'segmentation': {'size': [540, 960], 'counts': 'f[\\9d0S`0:H6J6J5L4L4M3L4M3M2N2N3M3M2N2M4M1O2N2N3M2N2N2N2M3M2O2M3L4M3L4N2M2N3N2M3N1O2N2N1O2O0O2N2N1N3N2N1O2N1O2N1O2O001N1O2O0O2O0O101N1N3O0O2N1O2N1O1O2N100O1O2N100O2O0O101O0O100O2N10000O101O000O1O1O2O000O100O101N10000O100O100000000O1000000O10000O100000000000000000000000000000O100000000000O01000001O0O1000000O1000000O100O10001N10000O100O100O2O0O100O2O0O100O2N100O2N1O1O2N101N1O1O1O2N1N3N1O2N1N3M2N3N1O2O0O2O0O101O0O2O00001N2O001O0O2O1O001N2O001N2O1N101N2O1N2N101N1O2O1N2N2O1N3M2N3N1N3N1N2N2O2M3M3M2N4M1N2O2M4K6K3L4L4L4L3M4K6K3L5L4L5J:FleR2'}, 'bbox': [569, 201, 264, 209], 'area': 55176, 'iscrowd': 1}
Í¼Æ¬ ID: 1033960003, Interaction ±ê×¢: {'id': 45, 'image_id': 1033960003, 'category_id': 2, 'segmentation': {'size': [540, 960], 'counts': '`\\c=6b`07K4L3M4L4K4M4K5WOjNdA\\1V>h0L4M3N3M1O3M2O1N2O1N2N2N3N1N2O1O1N1O2M3N1O2O1N2O1N2O1N2O1O1N101O1O1O1O001O0O2O001N2N2N2O1O0O2O1O0O2O1O001N2O001O1N2O001N101O0O2O1O0O2O1O001N2O001O1N2O001N101O1O1O0O101O000O2O1O001N101O0kE\\JR9e5Q1101O001N1000001O0O2bFUJi7l5VHTJj7m5UHSJk7m5VHRJi7o5b11O001O00001O00001O001oEmIE2R9R6WGRJANW9P6XGQJBOV9Q6WGkIH3Q9S6WGjIH3Q9T6VGiII2R9U6UGiII2[1'}, 'bbox': [825, 247, 135, 243], 'area': 32805, 'iscrowd': 1}
Í¼Æ¬ ID: 1063530010, Interaction ±ê×¢: {'id': 93, 'image_id': 1063530010, 'category_id': 1, 'segmentation': {'size': [540, 960], 'counts': 'STh91k`01N2O0O2O000O2O0O2O000O2O001N101O0O2O001O1N2O1O3M2N1O0O101O001O0O10000000000O100000000000001O00010O1O0100O2N1O2N1N2M3M4L3K6JhlP5'}, 'bbox': [591, 468, 63, 37], 'area': 2331, 'iscrowd': 1}
Í¼Æ¬ ID: 1063530010, Interaction ±ê×¢: {'id': 94, 'image_id': 1063530010, 'category_id': 9, 'segmentation': {'size': [540, 960], 'counts': 'STh91k`01N2O0O2O000O2O0O2O000O2O001N101O0O2O001O1N2O1O2N3M0O2O001O001N10000000000O10000000000000001O00001O1O010O03M2N1O1N2M4L3L5K6IglP5'}, 'bbox': [591, 468, 63, 37], 'area': 2331, 'iscrowd': 1}
Í¼Æ¬ ID: 1063530012, Interaction ±ê×¢: {'id': 113, 'image_id': 1063530012, 'category_id': 1, 'segmentation': {'size': [540, 960], 'counts': 'P_\\<7c`03O00001N1N4NHh_OMW`0>M2O1O1O1N101O1O1N10000000001N100000001O00001N10001O00010O010O10O010O100O1O2N1O1N2N2N2M3M3M3L5KjW`2'}, 'bbox': [751, 434, 56, 40], 'area': 2240, 'iscrowd': 1}
Í¼Æ¬ ID: 1063530012, Interaction ±ê×¢: {'id': 114, 'image_id': 1063530012, 'category_id': 9, 'segmentation': {'size': [540, 960], 'counts': 'bjY<7d`02N2O0O2O001N101O001O1O1N2O1O2N001O1O1N2O0000000000001N100000001O00001O0O101O01O0100O010O010O0100O2N1O1O1N2N2N2M3M3M4K4LjW`2'}, 'bbox': [746, 434, 61, 40], 'area': 2440, 'iscrowd': 1}
Í¼Æ¬ ID: 1063530012, Interaction ±ê×¢: {'id': 116, 'image_id': 1063530012, 'category_id': 9, 'segmentation': {'size': [540, 960], 'counts': 'd`U:1i`07I4M2N2N1O2N1O2N1O100O10000000O101O0O1O2O1N2M3M5JlPW5'}, 'bbox': [617, 139, 26, 25], 'area': 650, 'iscrowd': 1}
Í¼Æ¬ ID: 1063530018, Interaction ±ê×¢: {'id': 156, 'image_id': 1063530018, 'category_id': 1, 'segmentation': {'size': [540, 960], 'counts': 'TSY12h`04M3M2M3N1O1N2O1O0fNESB=m=IlA8S>NfA4Z>NcA2^>NaA3^>O_A3a>M^A4b>L[A6e>Q1000000O010000000O010O1001O000ON3N2N2O0010000O010000000O10O10O100000@bAaN^>]1b0O1O1O0O2O1O0O2O1O1O001N2O1N1O2O1N2N101N2M2O2N2O0O2O1O1N2N1O2N2N101N2O1N2N2NPgP='}, 'bbox': [77, 422, 92, 90], 'area': 8280, 'iscrowd': 1}
Í¼Æ¬ ID: 1063530020, Interaction ±ê×¢: {'id': 165, 'image_id': 1063530020, 'category_id': 1, 'segmentation': {'size': [540, 960], 'counts': 'ljc73i`0100O1]_OLT`01m_O3NN1Ol?c0R@_Om?i000O001O101N2N10000O2O1O2M2O3M0O10O100Oh@iNl>X1PAkNQ?a1O01O2N5Jc0^O4K4L1O0000000O10000O10N1O1O101O010000001O00O1O100O101O0000101O1O0O0N2O1O001000000O0O200O02O001O0O0100O001000000000001N1O101N1O2MmVc6'}, 'bbox': [462, 205, 97, 75], 'area': 7275, 'iscrowd': 1}
